"TIME","GEO","UNIT","Value","Flag and Footnotes"
"2006","Liechtenstein","Nombre","48",""
"2006","Norvège","Nombre","3.250",""
"2006","Suisse","Nombre","5.888",""
"2006","Monténégro","Nombre","852",""
"2006","Ancienne République yougoslave de Macédoine","Nombre","2.090",""
"2006","Serbie","Nombre","7.862",""
"2006","Turquie","Nombre","70.524",""
"2007","Belgique","Nombre","9.950",""
"2007","Bulgarie","Nombre","10.792",""
"2007","Tchéquie","Nombre","19.110",""
"2007","Danemark","Nombre","3.646",""
"2007","Allemagne (jusqu'en 1990, ancien territoire de la RFA)","Nombre","73.319",""
"2007","Estonie","Nombre","3.466",""
"2007","Irlande","Nombre","3.321",""
"2007","Grèce","Nombre","11.255",""
"2007","Espagne","Nombre","67.100",""
"2007","France","Nombre","60.403",""
"2007","Croatie","Nombre","4.290",""
"2007","Italie","Nombre","48.693",""
"2007","Chypre","Nombre","646",""
"2007","Lettonie","Nombre","6.548",""
"2007","Lituanie","Nombre","7.770",""
"2007","Luxembourg","Nombre","666",""
"2007","Hongrie","Nombre","14.743",""
"2007","Malte","Nombre","382",""
"2007","Pays-Bas","Nombre","15.540",""
"2007","Autriche","Nombre","8.887",""
"2007","Pologne","Nombre","90.199",""
"2007","Portugal","Nombre","11.587",""
"2007","Roumanie","Nombre","29.390",""
"2007","Slovénie","Nombre","1.336",""
"2007","Slovaquie","Nombre","8.235",""
"2007","Finlande","Nombre","3.370",""
"2007","Suède","Nombre","6.740",""
"2007","England et Wales","Nombre","79.734",""
"2007","Scotland","Nombre","7.376",""
"2007","Northern Ireland (UK)","Nombre","1.484",""
"2007","Islande","Nombre","115",""
"2007","Liechtenstein","Nombre","38",""
"2007","Norvège","Nombre","3.420",""
"2007","Suisse","Nombre","5.715",""
"2007","Monténégro","Nombre","961",""
"2007","Ancienne République yougoslave de Macédoine","Nombre","2.050",""
"2007","Serbie","Nombre","8.970",""
"2007","Turquie","Nombre","90.732",""
